id,budget,genre,original_language,popularity,year,month,release_date,revenue,runtime,vote_average,vote_count,country
59965,35000000,Thriller,en,10.512109,2011,9,2011/9/22,82087155,106,5.6,987,US
53487,25000000,Drama,en,10.710831,2011,10,2011/10/1,11790979,118,6.7,275,IT
76025,6500000,Drama,en,11.72049,2011,10,2011/10/2,17693675,100,7,897,GB
63492,20000000,Comedy,en,6.958086,2011,9,2011/9/30,30426096,106,6.2,689,US
69668,50000000,Drama,en,9.995617,2011,9,2011/9/30,38502340,84,5.8,401,CA
45610,30000000,Action,en,5.87767,2011,9,2011/9/23,2527904,129,6.4,292,US
61891,30000000,Drama,en,13.413895,2011,10,2011/10/21,15395087,130,6.3,291,GB
59108,75000000,Action,en,7.762917,2011,11,2011/11/2,152930623,104,5.8,945,US
88794,35000000,Drama,en,9.529382,2011,11,2011/11/9,84606030,137,6,766,US
73499,17000000,Action,en,5.498819,2011,10,2011/10/27,3696232,98,5.8,226,US
17578,130000000,Adventure,en,19.201504,2011,10,2011/10/25,371940071,107,6.7,2095,NZ
44826,170000000,Adventure,en,14.046164,2011,11,2011/11/22,185770160,126,7,2197,FR
70578,36000000,Crime,en,9.540381,2011,10,2011/10/13,9612469,91,5.4,333,US
37958,75000000,Fantasy,en,10.363671,2011,11,2011/11/10,226904017,110,5.7,898,US
71880,79000000,Comedy,en,6.620033,2011,11,2011/11/11,149673788,91,4,619,US
62630,19100000,Drama,en,6.681211,2011,2,2011/2/11,5728213,109,6.5,208,NL
70586,20000000,Action,en,4.850968,2011,11,2011/11/4,2128186,85,4.7,150,US
55292,29000000,Action,cn,5.311245,2011,1,2011/1/20,33662874,131,6.5,102,CN
65057,20000000,Comedy,en,11.794753,2011,9,2011/9/9,177243185,115,6.7,956,US
60420,250000,Drama,en,8.002786,2011,10,2011/10/28,3542353,90,6.5,386,US
64328,45000000,Comedy,en,10.214369,2011,11,2011/11/22,165184237,103,6.5,509,US
50619,110000000,Adventure,en,25.9725,2011,3,2011/3/15,712171856,117,5.8,2622,US
57212,66000000,Drama,en,8.166363,2011,12,2011/12/25,177584879,146,7,1016,US
23514,45000000,Drama,en,10.110504,2011,10,2011/10/13,24000000,120,5.6,391,US
75900,6400000,Drama,en,12.203066,2011,10,2011/10/17,35057696,99,6.6,418,GB
79120,8000,Drama,en,4.727171,2011,9,2011/9/22,484592,96,7.5,164,GB
53457,10000000,Drama,fr,6.091224,2010,9,2010/9/16,17511906,111,7.2,200,FR
57431,25000000,Comedy,en,13.105682,2011,12,2011/12/9,34942188,81,5.4,330,US
64685,40000000,Drama,en,7.82605,2011,12,2011/12/24,55247881,129,6.9,726,US
75622,12000000,Crime,en,5.874878,2011,11,2011/11/23,972512,108,5.3,135,US
65759,130000000,Animation,en,9.141045,2011,11,2011/11/17,150406466,100,5.8,381,AU
62046,5000000,Mystery,en,8.132748,2011,8,2011/8/19,3142154,87,6.2,261,DE
70074,55000000,Action,en,8.26008,2013,1,2013/1/31,9489829,92,5.2,490,CH
76163,100000000,Action,en,14.881566,2012,8,2012/8/8,312573423,103,6.1,2940,US
70160,75000000,Science Fiction,en,20.031667,2012,3,2012/3/12,691210692,142,6.9,9634,US
49026,250000000,Action,en,20.58258,2012,7,2012/7/16,1084939099,165,7.6,9263,US
49040,130000000,Action,en,14.89499,2012,8,2012/8/8,276572938,120,6,2683,US
58574,125000000,Adventure,en,18.695329,2011,11,2011/11/22,334615000,129,7,3971,US
101173,7700000,Drama,en,6.914615,2011,2,2011/2/14,1072602,123,5.9,133,IT
57157,12000000,Comedy,en,6.142913,2011,12,2011/12/16,22939027,94,5.6,368,US
62838,56000000,Comedy,en,6.948818,2011,12,2011/12/8,142044638,118,5.7,744,US
56292,145000000,Action,en,14.25843,2011,12,2011/12/7,694713380,133,6.8,4026,CZ
74465,50000000,Drama,en,10.563152,2011,12,2011/12/22,120081841,124,6.5,928,US
65754,90000000,Thriller,en,8.907829,2011,12,2011/12/14,232617430,158,7.2,2479,NO
71469,30000000,Horror,en,8.127392,2011,12,2011/12/22,64626786,89,4.8,474,US
55301,75000000,Comedy,en,8.066393,2011,12,2011/12/14,342695435,87,5.4,499,US
73873,8000000,Drama,en,5.379039,2011,12,2011/12/21,5634828,113,6.2,136,GB
76487,1000000,Thriller,en,5.747675,2012,1,2012/1/6,101758490,83,4.6,263,US
77866,25000000,Thriller,en,10.595067,2012,1,2012/1/12,63100000,109,6.1,777,US
62837,37000000,Drama,en,6.695229,2011,9,2011/9/23,95404397,113,6.6,166,US
71688,13000000,History,en,7.421245,2011,12,2011/12/30,114956699,105,6.2,540,FR
38541,3000000,Horror,en,7.406609,2011,3,2011/3/13,22000,112,5.7,198,CA
52520,70000000,Fantasy,en,12.345348,2012,1,2012/1/19,160112671,88,6.1,1885,US
75174,25000000,Action,en,14.31675,2012,1,2012/1/26,77278331,117,6.4,1476,CA
49527,42000000,Action,en,10.528173,2012,1,2012/1/13,46221189,102,6.2,936,US
70435,23000000,Action,en,9.574817,2011,11,2011/11/6,33372606,93,5.6,508,IE
50357,5000000,Horror,en,10.711742,2011,7,2011/7/20,25562924,86,5,359,CA
74998,17000000,Action,en,10.250997,2011,9,2011/9/2,12355798,105,5.8,314,US
72431,58000000,Drama,en,7.145835,2012,1,2012/1/19,50365377,125,5.9,180,US
76758,94000000,Drama,zh,6.587711,2011,12,2011/12/15,95311434,145,7.1,193,CN
77338,13000000,Drama,fr,16.086919,2011,11,2011/11/2,426480871,112,8.2,5410,FR
54054,40000000,Action,en,6.322435,2012,1,2012/1/26,36893721,91,5.3,392,US
58428,750000,Horror,en,8.560726,2011,12,2011/12/1,78396,102,5.4,223,US
78698,40000000,Adventure,en,6.159379,2012,2,2012/2/2,24719215,107,6.6,153,GB
48492,13000000,Action,zh,7.17548,2010,9,2010/9/18,51723285,119,6.5,101,HK
76726,15000000,Science Fiction,en,12.47441,2012,2,2012/2/1,145000000,84,6.6,1965,US
65086,17000000,Drama,en,8.896679,2012,2,2012/2/1,127730736,95,6.1,1237,CA
59961,85000000,Action,en,8.338675,2012,2,2012/2/9,208076205,115,6.3,1361,US
72570,30000000,Drama,en,9.524298,2012,2,2012/2/5,196114570,104,7,1328,US
84200,850000,Comedy,en,10.378756,2012,8,2012/8/31,1243961,85,5.8,111,US
72545,79000000,Adventure,en,9.46307,2012,1,2012/1/19,355692760,94,5.8,1050,US
53174,5650000,Comedy,de,5.24461,2011,2,2011/2/2,43000000,123,6.4,103,DE
